#Net STA STLO STLA
Syn sta1 21.25 0.0
Syn sta2 21.45 0.0
Syn sta3 21.65 0.0
Syn sta4 21.85 0.0
Syn sta5 22.05 0.0
Syn sta6 22.25 0.0
Syn sta7 22.45 0.0
Syn sta8 22.65 0.0
Syn sta9 22.85 0.0
Syn sta10 23.05 0.0
Syn sta11 23.25 0.0
Syn sta12 23.45 0.0
Syn sta13 23.65 0.0
Syn sta14 23.85 0.0
Syn sta15 24.05 0.0
Syn sta16 24.25 0.0
Syn sta17 24.45 0.0
Syn sta18 24.65 0.0
Syn sta19 24.85 0.0
Syn sta20 25.05 0.0
Syn sta21 25.25 0.0
Syn sta22 25.45 0.0
Syn sta23 25.65 0.0
Syn sta24 25.85 0.0
Syn sta25 26.05 0.0
Syn sta26 26.25 0.0
Syn sta27 26.45 0.0
Syn sta28 26.65 0.0
Syn sta29 26.85 0.0
Syn sta30 27.05 0.0
Syn sta31 27.25 0.0
Syn sta32 27.45 0.0
Syn sta33 27.65 0.0
Syn sta34 27.85 0.0
Syn sta35 28.05 0.0
Syn sta36 28.25 0.0
Syn sta37 28.45 0.0
Syn sta38 28.65 0.0
Syn sta39 28.85 0.0
Syn sta40 29.05 0.0
Syn sta41 29.25 0.0
